id,kind,text,occurrences,age_range,place,scene,present,flags,mark,notes
C-0196,Choice,"Do it anyway — You said you would.",3,ages 25–35,"Alaska","adult","","",,
C-0197,Choice,"Ask to move it — Say why, and offer something else.",3,ages 25–35,"Alaska","adult","","",,
C-0198,Choice,"Leave it unsaid — Say nothing about it, and see whether they do.",3,ages 25–35,"Alaska","adult","","",,
C-0199,Choice,"Take the hours — Absorb the difference.",3,ages 34–52,"Kentucky","adult","","",,
C-0200,Choice,"Keep your week — Keep the week you have.",3,ages 34–52,"Kentucky","adult","","",,
C-0201,Choice,"Take some, trade the rest — Give what you can and hand back what you cannot.",3,ages 34–52,"Kentucky","adult","","",,
C-0202,Choice,"Go after it — Follow it up properly.",3,ages 34–52,"Kentucky","adult","","",,
C-0203,Choice,"Keep the job you have — Keep the thing that already works.",3,ages 34–52,"Kentucky","adult","","",,
C-0204,Choice,"Use it where you are — Take the offer to the people you already work for.",3,ages 34–52,"Kentucky","adult","","",,
C-0205,Choice,"Say nothing to anyone — Let it pass without it becoming a conversation.",3,ages 34–52,"Kentucky","adult","","",,
C-0206,Choice,"Take the win — Let it be a good week.",2,ages 45–53,"Nebraska","adult","","",,
C-0207,Choice,"Push while it is going well — Use the run rather than enjoy it.",2,ages 45–53,"Nebraska","adult","","",,
C-0208,Choice,"Ask Kian Keller where she has been — When there is nobody else in the room.",1,age 10,"Kentucky","episode","Kian Keller, your younger sister","",,
C-0209,Choice,"Ask Bianca Turner where he has been — When there is nobody else in the room.",1,age 11,"Kentucky","episode","Bianca Turner, your younger brother","",,
C-0210,Choice,"Ask Erica Lopez where he has been — When there is nobody else in the room.",1,age 10,"Kentucky","episode","Erica Lopez, your younger brother","",,
C-0211,Choice,"Try to repair it — Speak directly and attempt a repair.",1,age 11,"Kentucky","formative","Heather Hill, who is in your class","",,
C-0212,Choice,"Step back — Take space rather than force a resolution.",1,age 11,"Kentucky","formative","Heather Hill, who is in your class","",,
C-0213,Choice,"Get somebody else involved — Bring in a third person rather than manage it alone.",1,age 11,"Kentucky","formative","Heather Hill, who is in your class","",,
C-0214,Choice,"Ask Charlotte Harrington where she has been — When there is nobody else in the room.",1,age 10,"Kentucky","episode","Charlotte Harrington, your younger sister","",,
N-0215,Narration,"Michael Rocha is 5, and lives in Kentucky.",1,age 5,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
N-0216,Narration,"School carried on being the thing the week was built around.",50,ages 5–8,"Kentucky","episode","Ibrahim Rocha, your older sister","machine-cadence repeated-adjacent repeated-run",,
N-0217,Narration,"The house went on being Dennis Rocha and Ibrahim Rocha, and most evenings in it were unremarkable.",4,ages 5–8,"Kentucky","episode","Ibrahim Rocha, your older sister","machine-cadence repeated-adjacent repeated-run",,
N-0218,Narration,"A month later.",97,ages 5–9,"Kentucky","episode","","repeated-adjacent repeated-run",,
N-0219,Narration,"By the spring.",14,ages 5–10,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
N-0220,Narration,"Kentucky went on as it does, and so did Michael Rocha.",2,age 5,"Kentucky","episode","Ibrahim Rocha, your older sister","machine-cadence repeated-adjacent",,
N-0221,Narration,"By the summer.",4,ages 5–13,"Kentucky","formative","","",,
N-0222,Narration,"A year on, and into another spring, and Michael Rocha is 6.",1,age 6,"Kentucky","episode","Ibrahim Rocha, your older sister","",,
N-0223,Narration,"Half a year on, and Michael Rocha is 7.",1,age 7,"Kentucky","formative","","",,
N-0224,Narration,"A year on, and into another summer, and Michael Rocha is 8.",1,age 8,"Kentucky","formative","Bo Hill, who is in your class","",,
N-0225,Narration,"A year on, and into another spring.",1,age 8,"Kentucky","episode","Bo Hill, who is in your class","",,
N-0226,Narration,"Audrey Rosario is 8, and lives in Kentucky.",1,age 8,"Kentucky","episode","Miranda Rosario, your younger sister","",,
N-0227,Narration,"The house went on being Miranda Rosario and Cora Rosario, and most evenings in it were unremarkable.",3,ages 8–9,"Kentucky","episode","Miranda Rosario, your younger sister","machine-cadence repeated-run",,
N-0228,Narration,"Kentucky went on as it does, and so did Audrey Rosario.",3,ages 8–9,"Kentucky","formative","","machine-cadence repeated-run",,
N-0229,Narration,"Half a year on, and Audrey Rosario is 9.",1,age 9,"Kentucky","episode","","",,
N-0230,Narration,"Half a year on.",16,ages 9–13,"Kentucky","episode","Miranda Rosario, your younger sister","",,
N-0231,Narration,"Noor Perez is 10, and lives in Kentucky.",2,age 10,"Kentucky","episode","","",,
N-0232,Narration,"The house went on being Deborah Perez and Keanu Perez, and most evenings in it were unremarkable.",10,ages 10–11,"Kentucky","episode","","machine-cadence repeated-adjacent repeated-run",,
N-0233,Narration,"A month later, and Noor Perez is 11.",2,age 11,"Kentucky","formative","","",,
N-0234,Narration,"A year on, and into another autumn.",3,ages 11–14,"Kentucky","episode","","",,
N-0235,Narration,"Kentucky went on as it does, and so did Noor Perez.",6,ages 11–12,"Kentucky","episode","Deborah Perez, your younger brother","machine-cadence repeated-adjacent repeated-run",,
N-0236,Narration,"By the winter.",7,ages 11–14,"Kentucky","formative","Dawn Duncan","",,
N-0237,Narration,"Half a year on, and Noor Perez is 12.",2,age 12,"Kentucky","episode","Deborah Perez, your younger brother","",,
N-0238,Narration,"By the spring, and Noor Perez is 13.",2,age 13,"Kentucky","episode","Sean Johnson, who is in your class","",,
N-0239,Narration,"Tracy Marshall is 10, and lives in Nebraska.",1,age 10,"Nebraska","episode","","",,
N-0240,Narration,"Arjun Marshall was in the house every evening, and most of them were unremarkable.",3,ages 10–11,"Nebraska","episode","","machine-cadence repeated-adjacent repeated-run",,
N-0241,Narration,"A year on, and into another spring, and Tracy Marshall is 11.",1,age 11,"Nebraska","episode","","",,
N-0242,Narration,"Nebraska went on as it does, and so did Tracy Marshall.",2,age 11,"Nebraska","episode","","machine-cadence repeated-adjacent",,
N-0243,Narration,"Half a year on, and Tracy Marshall is 12.",1,age 12,"Nebraska","formative","Kian Gill, who is in your class","",,
N-0244,Narration,"A year on, and into another summer, and Tracy Marshall is 13.",1,age 13,"Nebraska","formative","","",,
N-0245,Narration,"Mara Stephens is 12, and lives in Alaska.",1,age 12,"Alaska","episode","Amara Stephens, your younger brother","",,
N-0246,Narration,"The house went on being Amara Stephens and Amos Stephens, and most evenings in it were unremarkable.",2,ages 12–14,"Alaska","episode","Amara Stephens, your younger brother","machine-cadence",,
N-0247,Narration,"By the spring, and Mara Stephens is 13.",1,age 13,"Alaska","formative","","",,
N-0248,Narration,"Alaska went on as it does, and so did Mara Stephens.",3,ages 13–14,"Alaska","formative","","machine-cadence repeated-adjacent repeated-run",,
N-0249,Narration,"Half a year on, and Mara Stephens is 14.",1,age 14,"Alaska","episode","Amara Stephens, your younger brother","",,
N-0250,Narration,"Philip Wilcox is 13, and lives in Lexington, Kentucky.",1,age 13,"Lexington, Kentucky","episode","Raymond Wilcox, your younger brother","",,
N-0251,Narration,"The house went on being Raymond Wilcox and Ramon Wilcox, and most evenings in it were unremarkable.",3,ages 13–15,"Lexington, Kentucky","episode","Raymond Wilcox, your younger brother","machine-cadence repeated-run",,
N-0252,Narration,"Lexington, Kentucky went on as it does, and so did Philip Wilcox.",3,ages 13–14,"Lexington, Kentucky","formative","","machine-cadence repeated-adjacent repeated-run",,
N-0253,Narration,"The next day.",6,ages 13–16,"Lexington, Kentucky","formative","","",,
N-0254,Narration,"A year on, and into another winter, and Philip Wilcox is 14.",1,age 14,"Lexington, Kentucky","formative","","",,
N-0255,Narration,"Half a year on, and Philip Wilcox is 15.",1,age 15,"Lexington, Kentucky","formative","Vivian Morrison","",,
N-0256,Narration,"Noor McMahon is 13, and lives in Kentucky.",1,age 13,"Kentucky","episode","","",,
N-0257,Narration,"Frances McMahon was in the house every evening, and most of them were unremarkable.",3,ages 13–14,"Kentucky","episode","","machine-cadence repeated-adjacent repeated-run",,
N-0258,Narration,"By the summer, and Noor McMahon is 14.",1,age 14,"Kentucky","formative","","",,
N-0259,Narration,"Kentucky went on as it does, and so did Noor McMahon.",2,ages 14–15,"Kentucky","formative","","machine-cadence repeated-adjacent",,
N-0260,Narration,"Half a year on, and Noor McMahon is 15.",1,age 15,"Kentucky","formative","","",,
N-0261,Narration,"Brian Vinson is 16, and lives in Nebraska.",1,age 16,"Nebraska","episode","Noah Vinson, your younger brother","",,
N-0262,Narration,"The house went on being Noah Vinson and Aiko Vinson, and most evenings in it were unremarkable.",3,ages 16–17,"Nebraska","episode","Noah Vinson, your younger brother","machine-cadence repeated-run",,
N-0263,Narration,"Nebraska went on as it does, and so did Brian Vinson.",1,age 16,"Nebraska","formative","","machine-cadence",,
N-0264,Narration,"Within the week.",1,age 16,"Nebraska","formative","","",,
N-0265,Narration,"Half a year on, and Brian Vinson is 17.",1,age 17,"Nebraska","episode","","",,
N-0266,Narration,"Nina Pollard is 16, and lives in Alaska.",1,age 16,"Alaska","episode","Malik Pollard, your younger brother","",,
N-0267,Narration,"The house went on being Justin Pollard and Malik Pollard, and most evenings in it were unremarkable.",3,ages 16–18,"Alaska","episode","Malik Pollard, your younger brother","machine-cadence repeated-run",,
N-0268,Narration,"Alaska went on as it does, and so did Nina Pollard.",2,ages 16–18,"Alaska","formative","","machine-cadence",,
N-0269,Narration,"Half a year on, and Nina Pollard is 17.",1,age 17,"Alaska","formative","","",,
N-0270,Narration,"Half a year on, and Nina Pollard is 18.",1,age 18,"Alaska","episode","Malik Pollard, your younger brother","",,
N-0271,Narration,"Holly Roberts is 16, and lives in Kentucky.",1,age 16,"Kentucky","episode","Logan Roberts, your younger sister","",,
N-0272,Narration,"The house went on being Logan Roberts and Ayanna Roberts, and most evenings in it were unremarkable.",3,ages 16–18,"Kentucky","episode","Logan Roberts, your younger sister","machine-cadence repeated-run",,
N-0273,Narration,"Kentucky went on as it does, and so did Holly Roberts.",5,ages 16–18,"Kentucky","formative","","machine-cadence repeated-adjacent repeated-run",,
N-0274,Narration,"Half a year on, and Holly Roberts is 17.",1,age 17,"Kentucky","episode","","",,
N-0275,Narration,"Half a year on, and Holly Roberts is 18.",1,age 18,"Kentucky","episode","Logan Roberts, your younger sister","",,
N-0276,Narration,"A couple of weeks on.",42,ages 18–19,"Kentucky","adult","Ayanna Roberts, your dad","repeated-adjacent repeated-run",,
N-0277,Narration,"Curtis Reyes is 18, and lives in Kentucky.",1,age 18,"Kentucky","episode","Piper Rich, who you live with","",,
N-0278,Narration,"Piper Rich was in the house every evening, and most of them were unremarkable.",5,ages 18–19,"Kentucky","episode","Piper Rich, who you live with","machine-cadence repeated-adjacent repeated-run",,
N-0279,Narration,"The meetings kept happening, roughly monthly, mostly dull.",38,ages 18–19,"Kentucky","episode","Piper Rich, who you live with","machine-cadence repeated-adjacent repeated-run",,
N-0280,Narration,"A month later, and Curtis Reyes is 19.",1,age 19,"Kentucky","adult","","",,
N-0281,Narration,"Kentucky went on as it does, and so did Curtis Reyes.",2,age 19,"Kentucky","adult","","machine-cadence",,
N-0282,Narration,"What you said you would do about Tyler Reyes came back around.",1,age 19,"Kentucky","adult","Piper Rich, who you live with","",,
N-0283,Narration,"A couple of weeks on, and Curtis Reyes is 20.",1,age 20,"Kentucky","adult","","",,
N-0284,Narration,"What you said you would do about Piper Rich came back around.",1,age 20,"Kentucky","adult","","",,
N-0285,Narration,"Grace Giles is 18, and lives in Nebraska.",1,age 18,"Nebraska","adult","","",,
N-0286,Narration,"A couple of weeks on, and Grace Giles is 19.",1,age 19,"Nebraska","adult","","",,
N-0287,Narration,"Nebraska went on as it does, and so did Grace Giles.",1,age 19,"Nebraska","episode","","machine-cadence",,
N-0288,Narration,"Gregory Riley is 25, and lives in Kentucky.",1,age 25,"Kentucky","episode","Lance McLaughlin, who you live with","",,
N-0289,Narration,"Lance McLaughlin was in the house every evening, and most of them were unremarkable.",2,age 25,"Kentucky","episode","Lance McLaughlin, who you live with","machine-cadence repeated-adjacent",,
N-0290,Narration,"Kentucky went on as it does, and so did Gregory Riley.",2,age 25,"Kentucky","adult","Lance McLaughlin, who you live with","machine-cadence",,
N-0291,Narration,"A month later, and Gregory Riley is 26.",1,age 26,"Kentucky","adult","","",,
N-0292,Narration,"What you said you would do about Lance McLaughlin came back around.",1,age 26,"Kentucky","adult","","",,
N-0293,Narration,"What you said you would do about Kayla Riley came back around.",1,age 26,"Kentucky","adult","","",,
N-0294,Narration,"Cynthia Hubbard is 25, and lives in Alaska.",1,age 25,"Alaska","adult","","",,
N-0295,Narration,"Looking after somebody at home went on taking its hours out of the week.",4,ages 25–35,"Alaska","episode","","",,
N-0296,Narration,"What you said you would do about Fiona Hubbard came back around.",1,age 25,"Alaska","adult","","",,
N-0297,Narration,"A month later, and Cynthia Hubbard is 26.",1,age 26,"Alaska","adult","","",,
N-0298,Narration,"What you said you would do about Looking after somebody at home came back around.",2,ages 26–35,"Alaska","adult","","",,
N-0299,Narration,"Trevor Lin is 34, and lives in Nebraska.",1,age 34,"Nebraska","episode","Victoria Stone, who you live with","",,
N-0300,Narration,"Victoria Stone was in the house every evening, and most of them were unremarkable.",2,age 34,"Nebraska","episode","Victoria Stone, who you live with","machine-cadence repeated-adjacent",,
N-0301,Narration,"A month later, and Trevor Lin is 35.",1,age 35,"Nebraska","adult","Victoria Stone, who you live with","",,
N-0302,Narration,"Nebraska went on as it does, and so did Trevor Lin.",2,age 35,"Nebraska","adult","Victoria Stone, who you live with","machine-cadence",,
N-0303,Narration,"What you said you would do about Victoria Stone came back around.",2,age 35,"Nebraska","adult","","repeated-adjacent",,
N-0304,Narration,"What you said you would do about Aria Lin came back around.",1,age 35,"Nebraska","adult","","",,
N-0305,Narration,"Alice Lawson is 34, and lives in Lexington, Kentucky.",1,age 34,"Lexington, Kentucky","adult","","",,
N-0306,Narration,"A month later, and Alice Lawson is 35.",1,age 35,"Lexington, Kentucky","adult","","",,
N-0307,Narration,"Lexington, Kentucky went on as it does, and so did Alice Lawson.",2,age 35,"Lexington, Kentucky","adult","","machine-cadence",,
N-0308,Narration,"What you said you would do about Arthur Lawson came back around.",1,age 35,"Lexington, Kentucky","adult","","",,
N-0309,Narration,"Morgan Hester is 45, and lives in Kentucky.",1,age 45,"Kentucky","episode","Philip Wiley, who you live with","",,
N-0310,Narration,"Philip Wiley was in the house every evening, and most of them were unremarkable.",5,ages 45–46,"Kentucky","episode","Philip Wiley, who you live with","machine-cadence repeated-adjacent repeated-run",,
N-0311,Narration,"Kentucky went on as it does, and so did Morgan Hester.",2,ages 45–46,"Kentucky","adult","","machine-cadence",,
N-0312,Narration,"A couple of weeks on, and Morgan Hester is 46.",1,age 46,"Kentucky","adult","Shannon Hester, your mom","",,
N-0313,Narration,"What you said you would do about Shannon Hester came back around.",1,age 46,"Kentucky","adult","","",,
N-0314,Narration,"Zara Schultz is 62, and lives in Alaska.",1,age 62,"Alaska","adult","","",,
N-0315,Narration,"Carmen Drake was in the house every evening, and most of them were unremarkable.",3,age 62,"Alaska","adult","","machine-cadence repeated-run",,
N-0316,Narration,"Alaska went on as it does, and so did Zara Schultz.",1,age 62,"Alaska","adult","Selena Schultz, your dad","machine-cadence",,
N-0317,Narration,"What you said you would do about Selena Schultz came back around.",1,age 62,"Alaska","adult","","",,
N-0318,Narration,"Clara Meadows is 34, and lives in Kentucky.",1,age 34,"Kentucky","episode","Malik Black, who you live with","",,
N-0319,Narration,"Work went on being work: the same shifts, the same people, the same road there.",8,ages 34–45,"Kentucky","episode","Malik Black, who you live with","machine-cadence repeated-adjacent repeated-run",,
N-0320,Narration,"Malik Black was in the house every evening, and most of them were unremarkable.",1,age 34,"Kentucky","episode","Malik Black, who you live with","machine-cadence",,
N-0321,Narration,"Half a year on, and Clara Meadows is 35.",1,age 35,"Kentucky","episode","","",,
N-0322,Narration,"Curtis Zamora is 45, and lives in Nebraska.",1,age 45,"Nebraska","adult","","",,
N-0323,Narration,"A month later, and Curtis Zamora is 46.",1,age 46,"Nebraska","adult","Jacob Zamora, your dad","",,
N-0324,Narration,"Nebraska went on as it does, and so did Curtis Zamora.",2,age 46,"Nebraska","adult","","machine-cadence",,
N-0325,Narration,"Ian Shannon is 52, and lives in Alaska.",1,age 52,"Alaska","adult","","",,
N-0326,Narration,"Austin Patel was in the house every evening, and most of them were unremarkable.",1,age 52,"Alaska","adult","","machine-cadence",,
N-0327,Narration,"Alaska went on as it does, and so did Ian Shannon.",2,age 52,"Alaska","adult","","machine-cadence",,
N-0328,Narration,"Half a year on, and Ian Shannon is 53.",1,age 53,"Alaska","adult","Travis Shannon, your mom","",,
N-0329,Narration,"What you said you would do about Austin Patel came back around.",1,age 53,"Alaska","adult","Travis Shannon, your mom","",,
N-0330,Narration,"What you said you would do about Something decided earlier came back around.",1,age 53,"Alaska","adult","Travis Shannon, your mom","",,
N-0331,Narration,"Eva Keller is 10, and lives in Kentucky.",1,age 10,"Kentucky","episode","Kian Keller, your younger sister","",,
N-0332,Narration,"The house went on being Kian Keller and Parker Keller, and most evenings in it were unremarkable.",4,ages 10–12,"Kentucky","episode","Kian Keller, your younger sister","machine-cadence repeated-adjacent repeated-run",,
N-0333,Narration,"Kentucky went on as it does, and so did Eva Keller.",1,age 10,"Kentucky","formative","","machine-cadence",,
N-0334,Narration,"A year on, and into another autumn, and Eva Keller is 11.",1,age 11,"Kentucky","episode","","",,
N-0335,Narration,"Half a year on, and Eva Keller is 12.",1,age 12,"Kentucky","episode","Kian Keller, your younger sister","",,
N-0336,Narration,"Charles Turner is 10, and lives in Kentucky.",1,age 10,"Kentucky","episode","","",,
N-0337,Narration,"The house went on being Rene Turner and Bianca Turner, and most evenings in it were unremarkable.",4,ages 10–11,"Kentucky","episode","","machine-cadence repeated-adjacent repeated-run",,
N-0338,Narration,"By the spring, and Charles Turner is 11.",1,age 11,"Kentucky","episode","Bianca Turner, your younger brother","",,
N-0339,Narration,"Half a year on, and Charles Turner is 12.",1,age 12,"Kentucky","episode","Bianca Turner, your younger brother","",,
N-0340,Narration,"Thomas Lopez is 10, and lives in Kentucky.",1,age 10,"Kentucky","episode","Erica Lopez, your younger brother","",,
N-0341,Narration,"The house went on being Erica Lopez and Marshall Lopez, and most evenings in it were unremarkable.",3,ages 10–11,"Kentucky","episode","Erica Lopez, your younger brother","machine-cadence repeated-run",,
N-0342,Narration,"By the spring, and Thomas Lopez is 11.",1,age 11,"Kentucky","formative","Heather Hill, who is in your class","",,
N-0343,Narration,"Kentucky went on as it does, and so did Thomas Lopez.",2,age 11,"Kentucky","formative","Heather Hill, who is in your class","machine-cadence",,
N-0344,Narration,"Colin Harrington is 10, and lives in Kentucky.",1,age 10,"Kentucky","episode","Charlotte Harrington, your younger sister","",,
N-0345,Narration,"The house went on being Charlotte Harrington and Brian Harrington, and most evenings in it were unremarkable.",2,ages 10–11,"Kentucky","episode","Charlotte Harrington, your younger sister","machine-cadence",,
N-0346,Narration,"Kentucky went on as it does, and so did Colin Harrington.",3,ages 10–12,"Kentucky","formative","","machine-cadence repeated-adjacent repeated-run",,
N-0347,Narration,"A year on, and into another winter, and Colin Harrington is 11.",1,age 11,"Kentucky","episode","","",,
N-0348,Narration,"Half a year on, and Colin Harrington is 12.",1,age 12,"Kentucky","episode","Yosef Harmon","",,
N-0349,Narration,"Emmanuel Michael is 34, and lives in Nebraska.",1,age 34,"Nebraska","adult","","",,
N-0350,Narration,"Julian Chan was in the house every evening, and most of them were unremarkable.",4,age 34,"Nebraska","adult","","machine-cadence repeated-run",,
N-0351,Narration,"What you said you would do about Isaiah Michael came back around.",1,age 34,"Nebraska","adult","","",,
T-0352,Thread,"You and Ibrahim Rocha have something unfinished.",5,ages 5–6,"Kentucky","episode","","",,
T-0353,Thread,"Whatever was going on at home with Ibrahim Rocha has been quiet for a long time.",2,age 8,"Kentucky","formative","Bo Hill, who is in your class","",,
T-0354,Thread,"You and Bo Hill are still in the middle of something.",1,age 8,"Kentucky","episode","Bo Hill, who is in your class","",,
T-0355,Thread,"You and Miranda Rosario have something unfinished.",6,ages 8–9,"Kentucky","episode","","",,
T-0356,Thread,"You and Selena Wynn are still in the middle of something.",3,age 9,"Kentucky","episode","Miranda Rosario, your younger sister","",,
T-0357,Thread,"Whatever was going on at home with Miranda Rosario has been quiet for a long time.",1,age 9,"Kentucky","episode","Miranda Rosario, your younger sister","",,
T-0358,Thread,"You and Deborah Perez have something unfinished.",16,age 11,"Kentucky","formative","","",,
T-0359,Thread,"You and Dawn Duncan are still in the middle of something.",8,ages 12–13,"Kentucky","episode","Deborah Perez, your younger brother","",,
T-0360,Thread,"You and Sean Johnson are still in the middle of something.",2,age 13,"Kentucky","episode","Sean Johnson, who is in your class","",,
T-0361,Thread,"You and Quentin Williams are still in the middle of something.",4,ages 11–12,"Nebraska","episode","","",,
T-0362,Thread,"You and Kian Gill are still in the middle of something.",1,age 13,"Nebraska","formative","","",,
T-0363,Thread,"You and Quentin Williams have not spoken in a long time.",1,age 13,"Nebraska","formative","","",,
T-0364,Thread,"You and Amara Stephens have something unfinished.",7,ages 12–13,"Alaska","episode","","",,
T-0365,Thread,"You and Raymond Wilcox have something unfinished.",6,age 13,"Lexington, Kentucky","episode","","",,
T-0366,Thread,"Whatever was going on at home with Raymond Wilcox has been quiet for a long time.",1,age 14,"Lexington, Kentucky","episode","Raymond Wilcox, your younger brother","",,
T-0367,Thread,"You and Noah Vinson have something unfinished.",8,age 16,"Nebraska","episode","","",,
T-0368,Thread,"Whatever was going on at home with Noah Vinson has been quiet for a long time.",1,age 17,"Nebraska","episode","Noah Vinson, your younger brother","",,
T-0369,Thread,"You and Malik Pollard have something unfinished.",6,ages 16–17,"Alaska","episode","","",,
T-0370,Thread,"Whatever was going on at home with Malik Pollard has been quiet for a long time.",1,age 18,"Alaska","episode","Malik Pollard, your younger brother","",,
T-0371,Thread,"You and Justin Pollard have something unfinished.",1,age 18,"Alaska","adult","","",,
T-0372,Thread,"You and Logan Roberts have something unfinished.",8,ages 16–17,"Kentucky","episode","","",,
T-0373,Thread,"Whatever was going on at home with Logan Roberts has been quiet for a long time.",1,age 18,"Kentucky","episode","Logan Roberts, your younger sister","",,
T-0374,Thread,"You and Ayanna Roberts have something unfinished.",3,age 18,"Kentucky","adult","","",,
T-0375,Thread,"You said you would do something about Looking after somebody at home.",7,ages 18–35,"Kentucky","adult","","",,
T-0376,Thread,"You and Marshall Fitzgerald have not spoken in a long time.",7,ages 18–19,"Kentucky","episode","Piper Rich, who you live with","",,
T-0377,Thread,"You and Omar Miles have not spoken in a long time.",4,ages 18–19,"Kentucky","episode","Piper Rich, who you live with","",,
T-0378,Thread,"You and Piper Rich have something unfinished.",11,age 19,"Kentucky","adult","","",,
T-0379,Thread,"Things with Tyler Reyes are not settled.",7,age 19,"Kentucky","adult","","",,
T-0380,Thread,"What you said about Tyler Reyes has come round.",5,age 19,"Kentucky","adult","Piper Rich, who you live with","",,
T-0381,Thread,"What you said about Piper Rich has come round.",1,age 20,"Kentucky","adult","","",,
T-0382,Thread,"You and Valerie McKay have not spoken in a long time.",10,age 18,"Nebraska","adult","","",,
T-0383,Thread,"You and Jose Brown have not spoken in a long time.",10,age 18,"Nebraska","adult","","",,
T-0384,Thread,"Things with Jesse Giles are not settled.",7,age 18,"Nebraska","adult","","",,
T-0385,Thread,"You and Samantha Weaver have not spoken in a long time.",8,age 25,"Kentucky","episode","Lance McLaughlin, who you live with","",,
T-0386,Thread,"You and Erica Valencia have not spoken in a long time.",5,age 25,"Kentucky","episode","Lance McLaughlin, who you live with","",,
T-0387,Thread,"You and Lance McLaughlin have something unfinished.",7,age 25,"Kentucky","adult","","",,
T-0388,Thread,"Things with Kayla Riley are not settled.",3,ages 25–26,"Kentucky","adult","Kayla Riley, your dad","",,
T-0389,Thread,"What you said about Lance McLaughlin has come round.",2,age 26,"Kentucky","adult","","",,
T-0390,Thread,"What you said about Kayla Riley has come round.",2,age 26,"Kentucky","adult","","",,
T-0391,Thread,"You said you would do something about The half of the week you agreed to hold.",9,ages 26–46,"Kentucky","adult","","",,
T-0392,Thread,"You and Dakota Cook have not spoken in a long time.",6,age 25,"Alaska","adult","","",,
T-0393,Thread,"You and Haris Velez have not spoken in a long time.",5,age 25,"Alaska","adult","","",,
T-0394,Thread,"Things with Fiona Hubbard are not settled.",7,age 25,"Alaska","adult","","",,
T-0395,Thread,"What you said about Fiona Hubbard has come round.",4,ages 25–26,"Alaska","adult","","",,
T-0396,Thread,"What you said about Looking after somebody at home has come round.",6,ages 26–35,"Alaska","adult","","",,
T-0397,Thread,"You and Brian Spears have not spoken in a long time.",9,ages 34–35,"Nebraska","episode","Victoria Stone, who you live with","",,
T-0398,Thread,"You and David Shah have not spoken in a long time.",5,ages 34–35,"Nebraska","episode","Victoria Stone, who you live with","",,
T-0399,Thread,"You and Victoria Stone have something unfinished.",8,ages 34–35,"Nebraska","adult","","",,
T-0400,Thread,"Things with Aria Lin are not settled.",4,age 35,"Nebraska","adult","Victoria Stone, who you live with","",,
T-0401,Thread,"What you said about Victoria Stone has come round.",5,age 35,"Nebraska","adult","","",,
T-0402,Thread,"What you said about Aria Lin has come round.",3,age 35,"Nebraska","adult","","",,
T-0403,Thread,"You and Asher Holloway have not spoken in a long time.",7,ages 34–35,"Lexington, Kentucky","adult","","",,
T-0404,Thread,"You and Parker Parrish have not spoken in a long time.",7,ages 34–35,"Lexington, Kentucky","adult","","",,
T-0405,Thread,"Things with Arthur Lawson are not settled.",5,age 35,"Lexington, Kentucky","adult","","",,
T-0406,Thread,"What you said about Arthur Lawson has come round.",3,age 35,"Lexington, Kentucky","adult","","",,
T-0407,Thread,"You and Ezra Campbell have not spoken in a long time.",7,age 45,"Kentucky","episode","Philip Wiley, who you live with","",,
T-0408,Thread,"You and Kieran Woodard have not spoken in a long time.",4,age 45,"Kentucky","episode","Philip Wiley, who you live with","",,
T-0409,Thread,"You and Philip Wiley have something unfinished.",11,age 45,"Kentucky","adult","","",,
T-0410,Thread,"Things with Shannon Hester are not settled.",5,ages 45–46,"Kentucky","adult","","",,
T-0411,Thread,"What you said about Shannon Hester has come round.",5,age 46,"Kentucky","adult","","",,
T-0412,Thread,"You and Fatima Robles have not spoken in a long time.",7,age 62,"Alaska","adult","","",,
T-0413,Thread,"You and Amir Woodward have not spoken in a long time.",5,age 62,"Alaska","adult","","",,
T-0414,Thread,"You and Carmen Drake have something unfinished.",7,age 62,"Alaska","adult","","",,
T-0415,Thread,"Things with Selena Schultz are not settled.",5,age 62,"Alaska","episode","","",,
T-0416,Thread,"What you said about Selena Schultz has come round.",3,age 62,"Alaska","adult","","",,
T-0417,Thread,"You and Lana Malone have not spoken in a long time.",8,age 34,"Kentucky","episode","Malik Black, who you live with","",,
T-0418,Thread,"You and Deborah Wise have not spoken in a long time.",8,age 34,"Kentucky","episode","Malik Black, who you live with","",,
T-0419,Thread,"You and Malik Black have something unfinished.",11,age 34,"Kentucky","adult","","",,
T-0420,Thread,"Things with Lara Meadows are not settled.",1,age 34,"Kentucky","episode","Malik Black, who you live with","",,
T-0421,Thread,"You and Damian Savage have not spoken in a long time.",12,age 45,"Nebraska","adult","","",,
T-0422,Thread,"You and Roland Murphy have not spoken in a long time.",12,age 45,"Nebraska","adult","","",,
T-0423,Thread,"You and Kai Sanchez have not spoken in a long time.",10,age 52,"Alaska","adult","","",,
T-0424,Thread,"You and Sara Mack have not spoken in a long time.",10,age 52,"Alaska","adult","","",,
T-0425,Thread,"You and Austin Patel have something unfinished.",9,age 52,"Alaska","adult","Austin Patel, who you live with","",,
T-0426,Thread,"What you said about Austin Patel has come round.",2,age 53,"Alaska","adult","Travis Shannon, your mom","",,
T-0427,Thread,"What you said about Something decided earlier has come round.",2,age 53,"Alaska","adult","Travis Shannon, your mom","",,
T-0428,Thread,"Things with Travis Shannon are not settled.",1,age 53,"Alaska","adult","","",,
